epoch,mAP0.5_0.95,precision,recall,mAP0.5
0,0.001637222,0.027880216,0.083333333,0.011402396
1,0.001525715,0.017258339,0.166666667,0.011293145
2,0.001479059,0.019689065,0.125,0.009635579
3,0.001964796,0.045286135,0.041666667,0.011518082
4,0.002326761,0.048590495,0.041666667,0.013432328
5,0.00297624,0.035612053,0.083333333,0.017231406
6,0.004792997,0.058234705,0.125,0.0249064
7,0.006509615,0.071794791,0.125,0.037123705
8,0.017340645,0.138552592,0.208333333,0.077175231
9,0.033436024,0.292797714,0.166666667,0.140911684
10,0.057031338,0.330307134,0.246784663,0.200591773
11,0.092085595,0.390644408,0.5,0.335799423
12,0.121964289,0.424615667,0.583333333,0.45655214
13,0.161527533,0.469829709,0.625,0.501802898
14,0.198240165,0.522671126,0.625,0.571273279
15,0.239915361,0.624798712,0.624485597,0.661492516
16,0.249903326,0.597958798,0.625,0.651982289
17,0.332904453,0.79840674,0.660360013,0.784416306
18,0.428512201,0.691275677,0.75,0.7792645
19,0.459180377,0.664396769,0.907587074,0.836054063
20,0.46777429,0.749591069,0.75,0.827408926
21,0.453671733,0.578342496,0.914451952,0.816358677
22,0.432777467,0.772055909,0.708333333,0.813885286
23,0.4525684,0.840243581,0.666666667,0.819660325
24,0.534735099,0.849780507,0.708333333,0.836003432
25,0.567361601,0.72315836,0.875,0.870711128
26,0.58115296,0.894424863,0.708333333,0.869393498
27,0.454392012,0.899902863,0.749231002,0.879967657
28,0.662153217,0.947360811,0.749891558,0.91469021
29,0.620589625,0.807648789,0.874764273,0.902709704
30,0.422449828,0.808921321,0.708333333,0.799781397
31,0.483857171,0.798989329,0.833333333,0.888050273
32,0.657561993,0.84565955,0.916666667,0.942011788
33,0.142141937,0.39211332,0.833184096,0.409269382
34,0.244262109,0.477959119,0.915582249,0.664850398
35,0.313143773,0.56361431,0.914893154,0.714684276
36,0.188986915,0.410822587,0.87166333,0.590820569
37,0.257167169,0.498509621,0.916666667,0.659983406
38,0.381371833,0.708437941,0.916666667,0.799121632
39,0.296852422,0.627173205,0.916666667,0.724365153
40,0.220742724,0.562650285,0.708333333,0.689080061
41,0.276484798,0.894291061,0.708333333,0.851890354
42,0.358186791,0.665999333,0.916666667,0.830022811
43,0.345800209,0.535653947,0.913316826,0.544939689
44,0.612016122,0.916586378,0.916666667,0.934993582
45,0.321875368,0.665378263,0.916666667,0.764962074
46,0.473730759,0.823847563,0.779863197,0.862141026
47,0.632768877,0.998522332,0.833333333,0.969417391
48,0.644148026,0.869405967,0.832214159,0.918621726
49,0.361526242,0.724003908,0.874433194,0.816721513
50,0.43255139,0.685223685,0.916666667,0.835466429
51,0.458142104,0.7595996,0.789998332,0.810220652
52,0.638495106,0.956489141,0.915979385,0.955587629
53,0.432062982,0.825097166,0.791666667,0.864046283
54,0.718533489,0.956518222,0.916592518,0.970611594
55,0.581507475,0.79011167,0.78451368,0.863170625
56,0.552477957,0.908942492,0.831904821,0.924555846
57,0.462548769,0.799909969,0.833333333,0.874232382
58,0.541898225,0.839919313,0.874495708,0.91161274
59,0.689919066,0.9995996,0.791666667,0.941227781
60,0.54574818,0.908955301,0.832028107,0.924614519
61,0.35254405,0.668694968,0.791666667,0.734060127
62,0.510217956,0.916260587,0.916666667,0.939142226
63,0.327038506,0.70331414,0.790242326,0.78968815
64,0.741472705,1,0.874497082,0.973074534
65,0.302947196,0.740269947,0.831366088,0.806040199
66,0.65592946,0.915712379,0.916666667,0.966445963
67,0.557259223,0.807670004,0.87487919,0.910704684
68,0.672489303,0.879674935,0.916666667,0.943006551
69,0.571167548,0.944268793,0.706093775,0.882405544
70,0.682603431,0.953190509,0.916666667,0.96852652
71,0.538814966,0.916523777,0.916666667,0.96837091
72,0.654139831,1,0.833212523,0.957798163
73,0.6440208,0.952332957,0.832493413,0.939128075
74,0.38983677,0.996879232,0.791666667,0.913856665
75,0.701053884,0.955190957,0.916666667,0.956303979
76,0.705492509,0.999141654,0.916666667,0.968743101
77,0.430581264,0.79991164,0.832891534,0.835824993
78,0.585970537,0.999677473,0.916666667,0.970741764
79,0.510144042,0.78566556,0.916410855,0.897552023
80,0.577943683,0.785348841,0.914748081,0.918842196
81,0.411674031,0.767070917,0.823584001,0.855896621
82,0.407798582,0.849775132,0.708333333,0.823465748
83,0.680596487,0.953165616,0.875,0.958266228
84,0.850647869,0.9583306,0.958270475,0.975684524
85,0.404836557,0.776979544,0.871108609,0.822176532
86,0.569344887,0.916459167,0.916666667,0.926827344
87,0.515194073,0.952133199,0.833333333,0.904490619
88,0.59600531,0.87440927,0.875,0.923083413
89,0.717319503,0.956407041,0.916666667,0.965443541
90,0.585592951,0.916654323,0.916524712,0.956531227
91,0.753394301,0.954260729,0.875,0.960653241
92,0.701605037,0.911603784,0.875,0.952193876
93,0.711394287,0.999678516,0.875,0.96297993
94,0.840657055,0.999680724,0.916666667,0.975759322
95,0.621254546,1,0.916421472,0.967503514
96,0.835252816,0.956167809,0.916666667,0.970989694
97,0.644116088,1,0.916618793,0.971818898
98,0.762016411,0.919824121,0.958333333,0.971414273
99,0.543485098,0.999702784,0.833333333,0.957959085
100,0.740250758,0.958324553,0.958131383,0.972113692
101,0.326468106,0.839969562,0.875,0.926402479
102,0.729663534,0.874966104,0.875,0.945343787
103,0.410659818,0.952273702,0.831456456,0.931636363
104,0.444214817,0.904285547,0.791666667,0.903977433
105,0.593074607,1,0.874210232,0.964136673
106,0.778809768,0.919049562,0.958333333,0.971200095
107,0.607496101,0.76634222,0.958333333,0.924903836
108,0.692184427,0.958298194,0.957525135,0.96419738
109,0.277022085,0.599980227,0.875,0.737538481
110,0.713449019,0.884544729,0.958333333,0.961590734
111,0.223032506,0.589632902,0.958333333,0.794433331
112,0.71352644,0.919778178,0.958333333,0.97470087
113,0.699599228,0.912185882,0.875,0.934748035
114,0.651129607,1,0.916632079,0.97635618
115,0.366261968,0.955960141,0.916666667,0.945571995
116,0.778382686,0.999868065,0.958333333,0.984115998
117,0.784194945,1,0.958210555,0.980287849
118,0.707539413,0.999178526,0.916666667,0.966561917
119,0.770806051,1,0.958237338,0.97684367
120,0.591567143,0.915291256,0.916666667,0.932294519
121,0.814366876,0.999904591,0.916666667,0.96960612
122,0.699324084,0.999951521,0.916666667,0.96838071
123,0.765074976,0.999561549,0.916666667,0.975315395
124,0.729647463,0.916639828,0.916358025,0.960315159
125,0.800692538,0.999884392,0.916666667,0.981384512
126,0.690975299,0.879623023,0.913525192,0.926162745
127,0.732120377,1,0.95828482,0.99195376
128,0.753225202,1,0.958243476,0.991955748
129,0.699567353,0.99994344,0.958333333,0.990590602
130,0.753849398,0.959996746,0.999918659,0.99343038
131,0.823325426,0.959992467,0.999811677,0.993431161
132,0.775414405,0.959989391,0.999734778,0.991834335
133,0.719667279,0.952145532,0.829213473,0.933316003
134,0.866772136,0.923068261,0.999882695,0.990290099
135,0.835903274,0.958331817,0.958298454,0.988920245
136,0.678177098,0.919842064,0.958333333,0.98291812
137,0.83976227,0.999855837,0.958333333,0.990585466
138,0.734818659,0.999932036,0.958333333,0.993435336
139,0.493905125,0.88888227,0.999935468,0.981705691
140,0.858801641,0.9583642,1,0.993442002
141,0.774444547,0.999782551,0.916666667,0.983853908
142,0.84085416,1,0.916450743,0.983862016
143,0.743213081,0.958295943,0.957473346,0.98649575
144,0.616803787,0.957914534,0.958333333,0.987673867
145,0.81668565,1,0.958212328,0.990612401
146,0.642884087,1,0.958051083,0.990615979
147,0.80839963,1,0.958174951,0.990613054
148,0.765130019,1,0.958057195,0.991986941
149,0.862109303,0.999296398,0.958333333,0.991998218
150,0.690815238,0.999714639,0.958333333,0.990632282
151,0.838265755,0.999780389,0.958333333,0.992005269
152,0.717034353,1,0.958065047,0.989370942
153,0.714923876,1,0.831505116,0.969199456
154,0.815948412,0.99976892,0.916666667,0.984968069
155,0.832439512,0.999967429,0.916666667,0.984974245
156,0.669153042,0.954470163,0.873550634,0.971300531
157,0.795620817,0.958327893,0.958208208,0.987676629
158,0.811198433,0.958188224,0.958333333,0.98767619
159,0.79658795,0.958257831,0.958333333,0.987690096
160,0.801533889,1,0.958261657,0.989343601
161,0.861289186,0.999799525,0.958333333,0.989337528
162,0.734157438,0.999964691,0.958333333,0.990599657
163,0.762793056,0.959985969,1,0.991862827
164,0.829920645,0.959999702,0.99999254,0.993467644
165,0.750321463,0.999874804,1,0.995075424
166,0.832505795,0.999626451,1,0.995083276
167,0.850052256,0.999804343,0.958333333,0.992001457
168,0.824445873,0.959998703,0.999967587,0.993488106
169,0.728147556,1,0.999444689,0.995081911
170,0.618967456,0.999078539,0.916666667,0.977001382
171,0.596906127,0.959985726,1,0.99185655
172,0.67003097,0.72725735,0.999924822,0.931384596
173,0.798844839,1,0.99995754,0.995053643
174,0.822649817,1,0.999955517,0.99506157
175,0.901421443,0.959996666,1,0.993470755
176,0.813874803,0.95999686,0.999921498,0.993484507
177,0.796100151,0.959999345,0.999983628,0.993490361
178,0.882185266,0.999745778,0.958333333,0.990640783
179,0.902374015,1,0.958308838,0.989366522
180,0.875809633,0.958265152,0.958333333,0.988974542
181,0.894974755,0.923052017,0.999662732,0.990344387
182,0.951660076,0.959997678,0.999941956,0.988679576
183,0.900560024,0.959944387,1,0.987092664
184,0.850063685,0.922786838,1,0.985356661
185,0.820087694,0.922925407,1,0.987024343
186,0.822996691,0.958007174,0.958333333,0.983206364
187,0.862684268,0.959998872,0.999971794,0.988703004
188,0.865797622,0.959998546,0.99996366,0.990382094
189,0.79476243,0.923074541,0.999967749,0.990434452
190,0.865558108,0.959988715,0.999717875,0.993592
191,0.914511812,0.99982692,0.958333333,0.992115693
192,0.823397999,0.999958767,0.958333333,0.992108262
193,0.7706445,0.959970457,0.999261434,0.993594175
194,0.88853101,0.999846068,1,0.995192
195,0.880265389,1,0.999901197,0.99512973
196,0.843045018,0.999925303,1,0.995138249
197,0.742101238,0.999947351,1,0.995118577
198,0.751486423,0.999950099,1,0.995133482
199,0.81426531,1,0.999991336,0.995146163
200,0.943215504,0.999925231,1,0.995205479
201,0.910694111,1,0.999977529,0.995250522
202,0.740483794,0.959960671,1,0.993567832
203,0.820993363,0.959904561,1,0.993576471
204,0.849427114,1,0.958296015,0.99209138
205,0.777101184,0.959830813,1,0.991922449
206,0.873064557,0.959993995,1,0.991904348
207,0.929952078,0.95980118,1,0.991904621
208,0.83548296,0.959888475,1,0.993504167
209,0.898141981,0.959933164,1,0.993492951
210,0.911924959,0.959771867,1,0.993487848
211,0.888435428,1,0.999856474,0.995091394
212,0.926243702,0.959664588,1,0.993518227
213,0.783849077,1,0.999768637,0.995113852
214,0.92181514,0.923051962,0.999661988,0.988975604
215,0.871586729,0.999953765,0.916666667,0.986244741
216,0.895459731,0.999903102,0.916666667,0.986242834
217,0.818123957,0.999693824,0.916666667,0.986252621
218,0.883357419,0.999565546,0.916666667,0.986247941
219,0.885460121,0.99999627,0.916666667,0.986242834
220,0.857903535,0.958093678,0.958333333,0.989026032
221,0.742250054,0.922820015,1,0.990420569
222,0.90157629,0.92305632,0.999720994,0.99044841
223,0.882197607,0.958243394,0.958333333,0.989089894
224,0.874632597,0.999548795,0.916666667,0.98487033
225,0.802833896,1,0.915462031,0.982530246
226,0.849823522,0.999365825,0.916666667,0.982561346
227,0.909270111,1,0.914996346,0.98367155
228,0.829834409,0.956457347,0.916666667,0.978506767
229,0.822058009,1,0.91614245,0.981411675
230,0.91991292,0.999488619,0.916666667,0.981508404
231,0.926613839,0.999896182,0.916666667,0.986436314
232,0.877195547,0.95821135,0.958333333,0.987933184
233,0.874664051,0.958287831,0.958333333,0.987958991
234,0.899123639,0.958326285,0.958171212,0.986780621
235,0.907684113,0.99988891,0.916666667,0.985256389
236,0.880583948,0.999639263,0.916666667,0.985263809
237,0.916689734,0.999716786,0.916666667,0.985280807
238,0.930811018,0.999719654,0.916666667,0.984190879
239,0.916262302,0.958331218,0.958284674,0.985733333
240,0.932015281,1,0.958226844,0.987371517
241,0.888022853,1,0.958178573,0.98964716
242,0.918778143,0.999898469,0.958333333,0.990919192
243,0.851976859,0.999836423,0.958333333,0.990920297
244,0.838286788,0.999942853,0.958333333,0.992295748
245,0.834870645,0.999956086,0.958333333,0.992276018
246,0.839838907,0.999819495,0.958333333,0.992264957
247,0.864730812,0.999887623,0.958333333,0.992271914
248,0.827508021,1,0.958212765,0.989644996
249,0.847355601,1,0.958234139,0.988421751
250,0.888694103,0.99972224,0.958333333,0.987324324
251,0.885630711,0.999873683,0.958333333,0.98839471
252,0.927777095,0.958311648,0.958333333,0.98670889
253,0.758619439,0.95830855,0.958333333,0.987833717
254,0.90367614,0.958289288,0.958333333,0.989079668
255,0.943537957,0.92306645,0.999858172,0.990426382
256,0.916541251,0.923070777,0.999916777,0.99045281
257,0.89732576,0.958331356,0.95828785,0.989116593
258,0.907741721,0.999868505,0.916666667,0.986359558
259,0.8816145,0.999956903,0.916666667,0.986374269
260,0.892718179,0.999858622,0.916666667,0.98645202
261,0.88830663,0.958329172,0.958237624,0.989253631
262,0.812421461,0.958328424,0.958220416,0.988017719
263,0.872955456,0.958328264,0.958216736,0.988016399
264,0.885392572,0.958242502,0.958333333,0.98805383
265,0.876280559,0.958257237,0.958333333,0.988082368
266,0.77326661,0.959995242,0.999881062,0.992256274
267,0.735264725,0.959997487,0.999937173,0.99227619
268,0.876504317,0.959963683,1,0.992350459
269,0.858996502,0.959886177,1,0.992335714
270,0.852933339,0.959927166,1,0.992293827
271,0.924470131,0.959976962,1,0.992352995
272,0.925748158,0.95987264,1,0.992462983
273,0.861188321,0.959998535,0.999963387,0.992412245
274,0.926365986,0.959997016,0.999925399,0.992321739
275,0.932344121,0.959963216,1,0.992312821
276,0.937856974,0.959998699,0.999967481,0.994169231
277,0.89685188,0.959997682,0.999942045,0.992594702
278,0.90446447,0.959997979,0.999949485,0.994194702
279,0.906933506,0.959999034,0.999975861,0.992621918
280,0.915227162,0.923071423,1,0.991158666
281,0.894114328,0.923068812,0.999890163,0.991327839
282,0.92447669,0.923073785,0.999957507,0.991179487
283,0.964270993,0.923068779,0.999889716,0.991165501
284,0.909420916,0.95994763,1,0.992621918
285,0.898683748,0.959939798,1,0.992589474
286,0.884039495,0.959998474,0.99996184,0.9926
287,0.901784182,0.959998581,0.999964522,0.992545342
288,0.890527555,0.95997098,1,0.992441711
289,0.82321741,0.959978588,1,0.992474157
290,0.888684343,0.959993384,1,0.994066667
291,0.93759897,0.959946081,1,0.994114286
292,0.93683682,0.959998213,0.999955336,0.994184314
293,0.89810629,0.959998102,0.999952546,0.991069565
294,0.96614118,0.959971868,1,0.992610811
295,0.966126257,0.95999902,0.99997551,0.992594702
296,0.948700373,0.959974759,1,0.992639161
297,0.904208928,0.959998193,0.999954819,0.992669565
298,0.951497841,0.959999062,0.999976562,0.9927375
299,0.945582581,0.959989234,1,0.992723077
300,0.916970387,0.959999475,0.999986872,0.992791736
301,0.886281508,0.959999324,0.999983091,0.9912
302,0.949902185,0.95999974,0.999993496,0.991152381
303,0.971215829,0.95995292,1,0.991051064
304,0.950385469,0.922981605,1,0.989379217
305,0.959058545,0.95999034,0.999758495,0.992621918
306,0.948372252,0.959845813,1,0.992545342
307,0.965665885,0.92306759,1,0.990898121
308,0.913205554,0.923069742,1,0.989452214
309,0.95254045,0.923073302,1,0.989455291
310,0.947367481,0.923016588,1,0.989446154
311,0.960499391,0.922975737,1,0.990905059
312,0.934862959,0.959984415,0.99961037,0.992505882
313,0.949823338,0.923042948,1,0.991113553
314,0.93016029,0.92305694,1,0.989685315
