epoch,mAP0.5_0.95,precision,recall,mAP0.5
0,0.000193435,0.005886847,0.067785668,0.001258402
1,0.000991737,0.017970008,0.066494513,0.006854621
2,0.072510876,0.445550291,0.270284487,0.251206108
3,0.080155258,0.396058117,0.442866365,0.33085771
4,0.128194293,0.484617335,0.474705823,0.441518915
5,0.158717413,0.502355818,0.548723029,0.496131841
6,0.119477307,0.439279505,0.553260168,0.462521743
7,0.152982862,0.514135083,0.521626856,0.516605161
8,0.23682497,0.755153446,0.510652034,0.616763119
9,0.147940845,0.545683023,0.495158167,0.46301492
10,0.088466651,0.516466138,0.247901872,0.239124759
11,0.120411601,0.589735372,0.360877986,0.344744294
12,0.283970806,0.785012537,0.653324726,0.714410531
13,0.289184151,0.784651089,0.637458418,0.704977473
14,0.288883044,0.817376956,0.624919303,0.71965391
15,0.269949199,0.734257827,0.588766946,0.652112399
16,0.344426286,0.847294704,0.663008393,0.753268825
17,0.351749106,0.817353024,0.674628793,0.74565105
18,0.197566335,0.628476935,0.472562944,0.497771739
19,0.157782884,0.729049216,0.309231762,0.35059534
20,0.220067822,0.665142718,0.478313404,0.494557306
21,0.373997552,0.859596693,0.739107517,0.803220522
22,0.370306496,0.812423551,0.687840843,0.768069064
23,0.143301568,0.699683162,0.289864429,0.313823854
24,0.317982333,0.817384331,0.624273725,0.669685095
25,0.366484422,0.805373149,0.729299102,0.773766305
26,0.367566357,0.819373633,0.70174306,0.762565162
27,0.38274111,0.869287729,0.73845537,0.81472916
28,0.408915123,0.888108924,0.753389283,0.839376242
29,0.283253231,0.800105643,0.643420373,0.702250706
30,0.338021967,0.800710626,0.642995481,0.702312395
31,0.276335907,0.782718672,0.590698122,0.637946031
32,0.406635388,0.843039841,0.78373144,0.831783617
33,0.33275349,0.817786478,0.709862219,0.75756327
34,0.329570182,0.808012,0.66946417,0.725443774
35,0.373349739,0.877231765,0.761133551,0.823198978
36,0.377951316,0.85948646,0.70755326,0.790414391
37,0.395560219,0.883113262,0.75726275,0.832887231
38,0.292792145,0.791675965,0.559715946,0.623994461
39,0.125927848,0.743858058,0.255003228,0.292258309
40,0.319253393,0.822535274,0.629438347,0.699305346
41,0.380721221,0.874627902,0.743705617,0.812597773
42,0.24189072,0.725474444,0.571521812,0.60979173
43,0.338220168,0.871701669,0.610716591,0.686189028
44,0.216115487,0.74485897,0.493791577,0.517181644
45,0.399065331,0.854653797,0.748870239,0.80619903
46,0.338632926,0.823806774,0.736503127,0.766553217
47,0.357098365,0.8505649,0.753389283,0.787660496
48,0.36718056,0.810244495,0.721110394,0.767760262
49,0.401862193,0.873218647,0.792769529,0.844779459
50,0.378132337,0.829032565,0.786959329,0.819055022
51,0.305543996,0.787484854,0.633938005,0.668786409
52,0.410361421,0.860498559,0.752630616,0.800048546
53,0.168942603,0.638896204,0.480871446,0.461131443
54,0.231221691,0.757551683,0.516394596,0.571713951
55,0.310123978,0.800523906,0.598450613,0.65666245
56,0.26654697,0.803984869,0.577249296,0.623988877
57,0.361234277,0.858063887,0.679085686,0.736585434
58,0.16865486,0.823301793,0.318915429,0.375666149
59,0.404233667,0.871832958,0.733368036,0.798846797
60,0.306673956,0.821216812,0.621045836,0.677841161
61,0.356079524,0.845985521,0.702388638,0.747680727
62,0.222625865,0.853157122,0.416339645,0.48064084
63,0.21854203,0.799515246,0.477081988,0.531922536
64,0.207304997,0.829282761,0.47039777,0.506196226
65,0.399802388,0.860708574,0.754680439,0.796769984
66,0.418894719,0.874797241,0.784858535,0.825752542
67,0.431729713,0.911732652,0.788250484,0.85604208
68,0.403230675,0.893129444,0.739137965,0.819213121
69,0.397495152,0.878654815,0.754034861,0.799145556
70,0.43090912,0.865432092,0.797152382,0.847232843
71,0.437951768,0.88803884,0.769528728,0.837062403
72,0.451611768,0.896096329,0.807617818,0.856526196
73,0.367768055,0.872115034,0.708844416,0.777014638
74,0.425008016,0.877625735,0.759297063,0.824762783
75,0.421053815,0.880081418,0.76888315,0.825832486
76,0.44683073,0.900146996,0.816010329,0.862108167
77,0.433933892,0.901577658,0.778566817,0.8486006
78,0.440278277,0.898349201,0.787604906,0.848508166
79,0.438735472,0.870250982,0.805382206,0.841521469
80,0.392375249,0.852755029,0.74564235,0.801961264
81,0.421175403,0.891827855,0.761114892,0.826347245
82,0.409043976,0.883806681,0.741483898,0.80895172
83,0.3574557,0.866641697,0.679793415,0.735157501
84,0.414306744,0.892084492,0.759199484,0.816316748
85,0.429802427,0.889279427,0.788250484,0.834907159
86,0.402431922,0.894242481,0.723692705,0.793214303
87,0.466216346,0.90195782,0.825537287,0.873599351
88,0.455111232,0.90995454,0.795914319,0.856346658
89,0.376293284,0.863511843,0.727566172,0.759153756
90,0.432549235,0.906245651,0.767552737,0.836745566
91,0.455560938,0.874931052,0.790832795,0.842462827
92,0.424418839,0.905227675,0.732730794,0.815104913
93,0.426802694,0.875855407,0.775338928,0.833864668
94,0.460776992,0.925225407,0.790819332,0.861971652
95,0.459633459,0.897545478,0.803086383,0.865436031
96,0.452632822,0.909853063,0.823757263,0.867614278
97,0.463111728,0.907588237,0.805681085,0.859676369
98,0.442014774,0.930711349,0.780503551,0.848964861
99,0.479033153,0.91084693,0.817947063,0.877128617
100,0.413587937,0.892566341,0.745527322,0.798561749
101,0.461133238,0.897050014,0.826906312,0.863649867
102,0.483307883,0.903782338,0.825048418,0.876863152
103,0.476336835,0.922369899,0.797731883,0.8719024
104,0.466597098,0.91283135,0.824781097,0.872759895
105,0.48389366,0.900877759,0.840542285,0.88118004
106,0.472363225,0.900547979,0.830099599,0.87165041
107,0.459974742,0.907757157,0.803098773,0.861392477
108,0.462964705,0.890433937,0.823709165,0.861127145
109,0.425352581,0.86988443,0.803098773,0.844705576
110,0.473188164,0.901162962,0.813428018,0.869194687
111,0.458170352,0.88546099,0.799870884,0.849294
112,0.453311553,0.933502369,0.790832795,0.869545913
113,0.470852932,0.892424553,0.825048418,0.869560819
114,0.463705976,0.896421739,0.82690209,0.867204541
115,0.476870136,0.876321221,0.850804323,0.870198651
116,0.459261148,0.897860284,0.823111685,0.865003877
117,0.478361606,0.90809299,0.831504196,0.872868021
118,0.459291762,0.907980206,0.821738136,0.865735731
119,0.462072383,0.907462354,0.803098773,0.856559407
120,0.474442692,0.886827321,0.834732085,0.863568997
121,0.415637216,0.902064342,0.761123673,0.809312785
122,0.471482737,0.894541556,0.837836375,0.870936982
123,0.378475476,0.85689755,0.754680439,0.793286101
124,0.298760537,0.879063311,0.572493518,0.609523688
125,0.46024509,0.934007566,0.767510183,0.843470325
126,0.456337092,0.918351562,0.794706262,0.859678815
127,0.478930949,0.925932483,0.782838035,0.858796262
128,0.452342846,0.917846211,0.788250484,0.849047478
129,0.478419785,0.89919189,0.806182878,0.860109875
130,0.484594375,0.890099,0.836668819,0.87121956
131,0.501114943,0.922644574,0.832149774,0.882553717
132,0.484906694,0.922029275,0.813428018,0.878769948
133,0.448800433,0.891740261,0.802965651,0.843453255
134,0.475275602,0.902365292,0.800516462,0.856750343
135,0.486908438,0.907535234,0.830055524,0.876839894
136,0.498344166,0.895237326,0.849573415,0.880205823
137,0.467900686,0.891781044,0.809554551,0.85037853
138,0.498665348,0.908451274,0.839207245,0.880877873
139,0.451907185,0.90619316,0.806326662,0.848436375
140,0.484510009,0.929645115,0.828276307,0.87363076
141,0.49407083,0.912647801,0.843770174,0.878898729
142,0.509112986,0.902807357,0.845530812,0.882178412
143,0.494192604,0.9326856,0.813986679,0.876785597
144,0.495399486,0.907098627,0.832060523,0.877489306
145,0.468730269,0.889977919,0.809554551,0.856397839
146,0.488794274,0.935248448,0.794060684,0.87135559
147,0.506132206,0.926508127,0.83015405,0.880861689
148,0.490468681,0.917004245,0.820279673,0.867953667
149,0.489309659,0.892285914,0.828918469,0.866809447
150,0.493767648,0.916241134,0.820529374,0.875731654
151,0.511174095,0.922315523,0.843114472,0.891138348
152,0.49733037,0.929643523,0.8274328,0.876509157
153,0.504948508,0.914666849,0.83925113,0.881324946
154,0.489560941,0.901748645,0.836668819,0.874817963
155,0.503243441,0.888448722,0.860555197,0.882304166
156,0.479463616,0.915447651,0.817947063,0.869208288
157,0.502962336,0.93259464,0.821740936,0.879866023
158,0.502260007,0.929768137,0.814073596,0.878370463
159,0.493890794,0.944960569,0.798033023,0.872507974
160,0.502539695,0.91617978,0.841187863,0.884433718
161,0.493413551,0.921008824,0.843047103,0.876617529
162,0.494086005,0.912485749,0.834675367,0.876011175
163,0.503250999,0.905334637,0.842479019,0.883280415
164,0.49520699,0.913356449,0.816646093,0.870868167
165,0.497248076,0.932128289,0.816655907,0.876364166
166,0.50924313,0.931114556,0.830858618,0.884188117
167,0.5064132,0.926432485,0.821103059,0.877748983
168,0.504405533,0.925627614,0.827580809,0.882446594
169,0.515864548,0.908041602,0.852808263,0.887509751
170,0.483876706,0.9265857,0.791478373,0.855842596
171,0.518158975,0.93291086,0.826985152,0.888718585
172,0.504494628,0.90748581,0.829566817,0.883439511
173,0.516984565,0.928014867,0.836668819,0.88664214
174,0.488968025,0.896736783,0.818503992,0.86469957
175,0.468364321,0.933331613,0.795329868,0.857212941
176,0.417988871,0.892104052,0.731273074,0.780045044
177,0.505855442,0.932740701,0.814701604,0.873618097
178,0.514043981,0.922424096,0.821820529,0.879424644
179,0.505424113,0.921601841,0.82763073,0.875818378
180,0.519863165,0.904913489,0.836023241,0.87685822
181,0.489457587,0.903367172,0.820780755,0.872947459
182,0.515377521,0.908644858,0.847643641,0.885396986
183,0.488936817,0.907968226,0.815251201,0.868183373
184,0.50498584,0.932936355,0.817301485,0.872873457
185,0.511092327,0.916690308,0.840542285,0.886445866
186,0.524124818,0.931648926,0.835947794,0.889317438
187,0.474999396,0.933954604,0.766851237,0.84159036
188,0.502799541,0.913159225,0.801038611,0.864605752
189,0.523311316,0.930281897,0.836023241,0.884903037
190,0.49656427,0.916787652,0.810838598,0.863840612
191,0.49228022,0.929392951,0.815776488,0.867108032
192,0.523304975,0.896321719,0.853918045,0.882427524
193,0.49754867,0.909207239,0.827504285,0.873752067
194,0.511979309,0.914211436,0.839896708,0.883961953
195,0.525491993,0.932963403,0.836023241,0.885775709
196,0.514216556,0.923894541,0.830732257,0.875336254
197,0.515658181,0.933414579,0.83344093,0.884431147
198,0.528066254,0.921063455,0.844415752,0.886814465
199,0.52048882,0.915776652,0.843770174,0.881411703
200,0.526786748,0.918732601,0.840542285,0.886190992
201,0.514978568,0.914453347,0.828276307,0.877962306
202,0.534976312,0.931008048,0.838605552,0.890483953
203,0.534902006,0.920162179,0.848221273,0.893985878
204,0.530861952,0.919102557,0.852162686,0.893652579
205,0.532294303,0.936610443,0.830213041,0.889022136
206,0.51882174,0.914283809,0.846977484,0.880807582
207,0.529920727,0.921553502,0.841818685,0.881903138
208,0.530680712,0.925291227,0.841187863,0.890456163
209,0.388738227,0.888928328,0.695287282,0.740991218
210,0.469079886,0.906536208,0.772111039,0.833618856
211,0.5183509,0.926503732,0.830213041,0.877571332
212,0.530513649,0.925735286,0.82887708,0.880370424
213,0.527515958,0.915406218,0.83925113,0.883108093
